Fornitore;Data inserimento;Lotto di Taglio;Commessa BV;WO;Articolo;Mov. Mag;N. Riga;Materiale;U.M.;Qtà Avanzata;Qtà Consumata;Cls Impiego BV;Conceria;Conc Des;Partita;Causale di Resa Taglio;Inviato a ST400
T571386;2023-07-13 15:03:51;L57138620230713150351000;EPEV/2023/06122/A;WBEP/2023/165;754139/VALKO/61;2BE/2023/S/3582;1;0004A1V2616 6178;DQ;0;190,00;110;463546;RINO MASTROTTO GROUP SPA;0731/23;R01/Riparazione (R);SI
T571386;2023-07-13 14:37:56;L57138620230713143756000;EPEV/2023/07603/A;WBEP/2023/216;766135/V0HW1/32;2BE/2023/S/3578;2;0004A1V2913 3194;DQ;69;74,58;110;502107;CARISMA SPA;574/23;111/Conformazione pelli (+);SI
T571386;2023-07-13 14:37:56;L57138620230713143756000;EPEV/2023/07636/A;WBEP/2023/220;766135/V0HW1/32;2BE/2023/S/3578;1;0004A1V2913 3194;DQ;30;32,42;110;502107;CARISMA SPA;574/23;111/Conformazione pelli (+);SI
T635822;2023-07-13 15:51:32;L63582220230713155132000;EPEV/2023/05789/A;WPPP/2023/944;765857/VMAY0/28;4SM/2023/S/4946;1;0004A1V2913 2844;DQ;82;57,00;330;462810;RUSSO DI CASANDRINO S.P.A.;1124/23;114/Dichiarate pelli intere (+);NO
T642529;2023-07-13 11:28:27;L64252920230713112827000;EMPV/2023/00771/A;WSMP/2023/197;/0005P1V0001/15;4SEMIL/2023/S/1488;1;0004A1V2985 1552;DQ;225;803,00;222;462810;RUSSO DI CASANDRINO S.P.A.;2023-3254;114/Dichiarate pelli intere (+);SI
T646693;2023-07-13 08:23:28;L64669320230713082328000;EPEV/2023/04337/A;WPEP/2023/1785;701915/VCQC2/25;1CL/2023/S/2051;1;0004A1V2657 2559;DQ;0;1031,00;197;463546;RINO MASTROTTO GROUP SPA;0885020;R01/Riparazione (R);SI
T646693;2023-07-13 08:19:55;L64669320230713081955000;EPEV/2023/06078/A;WPEP/2023/2755;729166/VMAY1/39;1CL/2023/S/2049;1;0004A1V0102 3978;DQ;50;5230,00;113;462810;RUSSO DI CASANDRINO S.P.A.;2016;117/Difettosità pelle – terza scelta/fine partita ;SI
T646693;2023-07-13 08:22:28;L64669320230713082228000;EPEV/2023/06078/A;WPEP/2023/2755;729166/VMAY1/39;1CL/2023/S/2050;1;0004A1V2523 3978;DQ;50;4412,00;197;502107;CARISMA SPA;321/23;117/Difettosità pelle – terza scelta/fine partita ;SI
T646693;2023-07-13 09:04:19;L64669320230713090419000;EPEV/2023/06539/A;WPEP/2023/3041;729043/V38R2/23;1CL/2023/S/2055;1;0004A1V2823 2234;DQ;3;771,00;113;528364;OPERA S.R.L;343;117/Difettosità pelle – terza scelta/fine partita ;SI
T646693;2023-07-13 09:07:45;L64669320230713090745000;EPEV/2023/06539/A;WPEP/2023/3041;729043/V38R2/23;1CL/2023/S/2058;1;0004A1V2523 2014;DQ;3;420,00;197;507243;DEVICONCIA DI DE VITA GIUSEPPE;2995/23;/;SI
T646693;2023-07-13 09:08:51;L64669320230713090851000;EPEV/2023/06539/A;WPEP/2023/3041;729043/V38R2/23;1CL/2023/S/2059;1;0004A1V1098 2234;DQ;3;40,00;156;528364;OPERA S.R.L;21559;117/Difettosità pelle – terza scelta/fine partita ;SI
T646693;2023-07-13 08:57:23;L64669320230713085723000;EPEV/2023/06571/A;WPEP/2023/3044;741777/V2XU1/88;1CL/2023/S/2052;1;0004A1V2616 1000;DQ;70;4138,00;197;571373;F.L. LEATHER S.R.L.;0392/23;005/Recupero pezzami/sfridi di tagli precedenti (-;SI
T646693;2023-07-13 09:03:03;L64669320230713090303000;EPEV/2023/06571/A;WPEP/2023/3044;741777/V2XU1/88;1CL/2023/S/2053;1;0004A1V2616 1000;DQ;30;1869,00;197;463546;RINO MASTROTTO GROUP SPA;0890972;005/Recupero pezzami/sfridi di tagli precedenti (-;SI
T646693;2023-07-13 09:03:39;L64669320230713090339000;EPEV/2023/06571/A;WPEP/2023/3044;741777/V2XU1/88;1CL/2023/S/2054;1;0004A1V0979 1000;DQ;100;4982,00;113;523877;CONCERIA MB3 SRL;069;004/Dimensione/conformità/qualità della pelle (-);SI
